yr.    sea.  inv.   inc.   cons.
1960   1   180   451   415
1960   2   179   465   421
1960   3   185   485   434
1960   4   192   493   448
1961   1   211   509   459
1961   2   202   520   458
1961   3   207   521   479
1961   4   214   540   487
1962   1   231   548   497
1962   2   229   558   510
1962   3   234   574   516
1962   4   237   583   525
1963   1   206   591   529
1963   2   250   599   538
1963   3   259   610   546
1963   4   263   627   555
1964   1   264   642   574
1964   2   280   653   574
1964   3   282   660   586
1964   4   292   694   602 
1965   1   286   709   617
1965   2   302   734   639
1965   3   304   751   653
1965   4   307   763   668
1966   1   317   766   679
1966   2   314   779   686
1966   3   306   808   697
1966   4   304   785   688
1967   1   292   794   704
1967   2   275   799   699
1967   3   273   799   709
1967   4   301   812   715
1968   1   280   837   724
1968   2   289   853   746
1968   3   303   876   758
1968   4   322   897   779 
1969   1   315   922   798
1969   2   339   949   816
1969   3   364   979   837
1969   4   371   988   858
1970   1   375  1025   881
1970   2   432  1063   905
1970   3   453  1104   934
1970   4   460  1131   968
1971   1   475  1137   983 
1971   2   496  1178  1013
1971   3   494  1211  1034
1971   4   498  1256  1064 
1972   1   526  1290  1101
1972   2   519  1314  1102
1972   3   516  1346  1145
1972   4   531  1385  1173
1973   1   573  1416  1216
1973   2   551  1436  1229
1973   3   538  1462  1242
1973   4   532  1493  1267
1974   1   558  1516  1295 
1974   2   524  1557  1317
1974   3   525  1613  1355 
1974   4   519  1642  1371
1975   1   526  1690  1402
1975   2   510  1759  1452
1975   3   519  1756  1485
1975   4   538  1780  1516
1976   1   549  1807  1549
1976   2   570  1831  1567
1976   3   559  1873  1588
1976   4   584  1897  1631
1977   1   611  1910  1650
1977   2   597  1943  1685
1977   3   603  1976  1722
1977   4   619  2018  1752
1978   1   635  2040  1774
1978   2   658  2070  1807
1978   3   675  2121  1831
1978   4   700  2132  1842
1979   1   692  2199  1890
1979   2   759  2253  1958
1979   3   782  2276  1948 
1979   4   816  2318  1994
1980   1   844  2369  2061
1980   2   830  2423  2056
1980   3   853  2457  2102 
1980   4   852  2470  2121 
1981   1   833  2521  2145
1981   2   860  2545  2164
1981   3   870  2580  2206
1981   4   830  2620  2225
1982   1   801  2639  2235
1982   2   824  2618  2237
1982   3   831  2628  2250
1982   4   830  2651  2271
