year,month,index
1950,1,0.92
1950,2,0.4
1950,3,-0.36
1950,4,0.73
1950,5,-0.59
1950,6,-0.06
1950,7,-1.26
1950,8,-0.05
1950,9,0.25
1950,10,0.85
1950,11,-1.26
1950,12,-1.02
1951,1,0.08
1951,2,0.7
1951,3,-1.02
1951,4,-0.22
1951,5,-0.59
1951,6,-1.64
1951,7,1.37
1951,8,-0.22
1951,9,-1.36
1951,10,1.87
1951,11,-0.39
1951,12,1.32
1952,1,0.93
1952,2,-0.83
1952,3,-1.49
1952,4,1.01
1952,5,-1.12
1952,6,-0.4
1952,7,-0.09
1952,8,-0.28
1952,9,-0.54
1952,10,-0.73
1952,11,-1.13
1952,12,-0.43
1953,1,0.33
1953,2,-0.49
1953,3,-0.04
1953,4,-1.67
1953,5,-0.66
1953,6,1.09
1953,7,0.4
1953,8,-0.71
1953,9,-0.35
1953,10,1.32
1953,11,1.04
1953,12,-0.47
1954,1,0.37
1954,2,0.74
1954,3,-0.83
1954,4,1.34
1954,5,-0.09
1954,6,-0.25
1954,7,-0.6
1954,8,-1.9
1954,9,-0.44
1954,10,0.6
1954,11,0.4
1954,12,0.69
1955,1,-1.84
1955,2,-1.12
1955,3,-0.53
1955,4,-0.42
1955,5,-0.34
1955,6,-1.1
1955,7,1.76
1955,8,1.07
1955,9,0.32
1955,10,-1.47
1955,11,-1.29
1955,12,0.17
1956,1,-0.22
1956,2,-1.12
1956,3,-0.05
1956,4,-1.06
1956,5,2.21
1956,6,0.1
1956,7,-0.75
1956,8,-1.37
1956,9,0.24
1956,10,0.88
1956,11,0.51
1956,12,0.1
1957,1,1.05
1957,2,0.11
1957,3,-1.26
1957,4,0.49
1957,5,-0.79
1957,6,-0.72
1957,7,-1.19
1957,8,-0.55
1957,9,-1.66
1957,10,1.32
1957,11,0.73
1957,12,0.12
1958,1,-0.54
1958,2,-1.06
1958,3,-1.96
1958,4,0.37
1958,5,-0.24
1958,6,-1.38
1958,7,-1.73
1958,8,-1.56
1958,9,-0.07
1958,10,0.16
1958,11,1.64
1958,12,-0.7
1959,1,-0.87
1959,2,0.68
1959,3,-0.15
1959,4,0.36
1959,5,0.39
1959,6,0.4
1959,7,0.74
1959,8,0.06
1959,9,0.88
1959,10,0.89
1959,11,0.41
1959,12,0.44
1960,1,-1.29
1960,2,-1.89
1960,3,-0.5
1960,4,1.36
1960,5,0.45
1960,6,-0.21
1960,7,0.35
1960,8,-1.4
1960,9,0.39
1960,10,-1.73
1960,11,-0.51
1960,12,0.06
1961,1,0.41
1961,2,0.45
1961,3,0.55
1961,4,-1.55
1961,5,-0.36
1961,6,0.86
1961,7,-0.39
1961,8,0.9
1961,9,1.24
1961,10,0.51
1961,11,-0.62
1961,12,-1.48
1962,1,0.61
1962,2,0.55
1962,3,-2.47
1962,4,0.99
1962,5,-0.1
1962,6,0.16
